date_of_birth__c,defendant_address__c,defendant_city__c,defendant_state__c,drivers_license_number__c,first_name__c,Id,last_name__c,Name,social_security
1/8/1991,,OAKLAND,,U310689759,Julia,a04i000000h8NAJAA2,Henderson,Julia Henderson,111111312
10/18/1964,089 Gateway Lane,FLORDELL HILLS,MO,S030215768,Harry,a04i000000h8NAKAA2,Fowler,Harry Fowler,111111313
12/6/1967,3 Pawling Pass,CLAYTON,MO,E396773320,Phillip,a04i000000h8NALAA2,Stevens,Phillip Stevens,111111314
1/17/1984,2271 Beilfuss Avenue,BEL-NOR,MO,I665328307,James,a04i000000h8NAOAA2,Lynch,James Lynch,111111315
8/14/1972,8 International Plaza,MACKENZIE,MO,D210868906,Nancy,a04i000000h8NAQAA2,Banks,Nancy Banks,111111316
2/25/1951,40058 Oriole Road,FERGUSON,MO,B677501551,Harold,a04i000000h8NARAA2,Johnson,Harold Johnson,111111317
10/14/1956,710 Eagan Terrace,FERGUSON,MO,J655009166,Ernest,a04i000000h8NASAA2,Franklin,Ernest Franklin,111111318
4/27/1993,2 North Parkway,PINE LAWN,MO,X688174227,Louis,a04i000000h8NATAA2,Brooks,Louis Brooks,111111319
3/18/1991,,MARYLAND HEIGHTS,MO,S733602206,Martin,a04i000000h8NAUAA2,Wheeler,Martin Wheeler,111111320
12/6/1952,2 Basil Junction,PASADENA PARK,MO,,Betty,a04i000000h8NAVAA2,Elliott,Betty Elliott,111111321
8/31/1987,845 Packers Circle,ST. GEORGE,MO,,Virginia,a04i000000h8NAWAA2,Cunningham,Virginia Cunningham,111111322
11/11/1988,8664 Katie Way,CHARLACK,MO,Q278728618,Sean,a04i000000h8NAXAA2,Harper,Sean Harper,111111323
5/2/1990,31 Kingsford Park,MAPLEWOOD,MO,T827866822,Jerry,a04i000000h8NHfAAM,Green,Jerry Green,111111324
9/14/1987,86 Dexter Road,CHESTERFIELD,MO,B097135738,Norma,a04i000000h8NHgAAM,Day,Norma Day,111111325
9/1/1964,23605 Loeprich Road,FRONTENAC,MO,Y867065818,George,a04i000000h8NHhAAM,Reid,George Reid,111111326
3/14/1967,726 Killdeer Drive,ELLISVILLE,MO,E633665109,Terry,a04i000000h8NHiAAM,Carr,Terry Carr,111111327
9/24/1993,95 Maple Wood Alley,PACIFIC,MO,V850567006,Richard,a04i000000h8NHjAAM,Arnold,Richard Arnold,111111328
11/20/1992,3286 Utah Trail,BLACK JACK,MO,J020670422,Kevin,a04i000000h8NHnAAM,Ruiz,Kevin Ruiz,111111329
12/18/1952,301 Northridge Place,,MO,S522630440,Harold,a04i000000h8NHoAAM,Hawkins,Harold Hawkins,111111330
10/13/1972,1 Tony Center,GREEN PARK,,Y777419793,Jonathan,a04i000000h8NHpAAM,Harrison,Jonathan Harrison,111111331
1/31/1966,9 Linden Alley,BELLA VILLA,MO,T462761662,Bruce,a04i000000h8NHqAAM,Anderson,Bruce Anderson,111111332
8/2/1996,64 Mifflin Center,KIRKWOOD,,O250395952,Theresa,a04i000000h8NHrAAM,Carpenter,Theresa Carpenter,111111333
12/23/1991,1 Thackeray Court,COOL VALLEY,MO,F476727940,Russell,a04i000000h8NHsAAM,Schmidt,Russell Schmidt,111111334
8/7/1982,0 Monument Plaza,WARSON WOODS,MO,J904358926,Christopher,a04i000000h8NHtAAM,George,Christopher George,111111335
1/5/1973,155 Mosinee Point,WOODSON TERRACE,MO,B221822656,Jesse,a04i000000h8NHuAAM,Murphy,Jesse Murphy,111111336
6/1/1963,8469 Talisman Circle,BEL-NOR,MO,F917801962,Eugene,a04i000000h8NHvAAM,Price,Eugene Price,111111337
3/1/1954,,FERGUSON,MO,,Barbara,a04i000000h8NI1AAM,Mason,Barbara Mason,111111338
2/12/1963,0727 Bobwhite Road,PAGEDALE,MO,O572892932,Donald,a04i000000h8NI2AAM,Morgan,Donald Morgan,111111339
12/2/1956,29470 Cordelia Drive,OVERLAND,MO,P273652793,Ronald,a04i000000h8NI3AAM,Stewart,Ronald Stewart,111111340
5/7/1958,679 Maywood Street,WINCHESTER,MO,,Andrea,a04i000000h8NI7AAM,Bryant,Andrea Bryant,111111341
2/19/1970,2030 Texas Parkway,BELLEFONTAINE NEIGHBORS,MO,V165094973,Samuel,a04i000000h8NI8AAM,Richards,Samuel Richards,111111342
12/6/1982,70 Northwestern Center,PINE LAWN,MO,I474456400,Albert,a04i000000h8NI9AAM,Bishop,Albert Bishop,111111343
10/1/1961,,FERGUSON,MO,U012827108,Kevin,a04i000000h8NIAAA2,Burton,Kevin Burton,111111344
6/1/1968,2782 Manley Circle,WOODSON TERRACE,MO,,Kenneth,a04i000000h8NAdAAM,Sanders,Kenneth Sanders,111111345
8/6/1991,58340 4th Place,BLACK JACK,MO,H988302429,Thomas,a04i000000h8NAeAAM,Cole,Thomas Cole,111111346
5/10/1953,82 Grayhawk Plaza,WILBUR PARK,MO,L596021194,Frances,a04i000000h8NAgAAM,Oliver,Frances Oliver,111111347
12/13/1987,208 Messerschmidt Center,WOODSON TERRACE,MO,,Lillian,a04i000000h8NAhAAM,Harper,Lillian Harper,111111348
1/27/1994,619 Golf View Road,CRYSTAL LAKE PARK,MO,T243679294,Kathy,a04i000000h8NAiAAM,Torres,Kathy Torres,111111349
9/23/1995,288 Little Fleur Point,COOL VALLEY,MO,E028980932,Anne,a04i000000h8NAjAAM,Richardson,Anne Richardson,111111350
2/7/1958,53 Memorial Pass,BLACK JACK,MO,U250921561,Ralph,a04i000000h8NAkAAM,Morris,Ralph Morris,111111351
2/17/1985,6 Shoshone Crossing,VALLEY PARK,MO,,Helen,a04i000000h8NAlAAM,Carpenter,Helen Carpenter,111111352
12/28/1953,18 Grayhawk Point,BEL-NOR,MO,B779847505,Lori,a04i000000h8NAmAAM,Lawrence,Lori Lawrence,111111353
3/7/1964,841 Fallview Alley,UPLANDS PARK,MO,Z833401505,Henry,a04i000000h8NAnAAM,Myers,Henry Myers,111111354
11/21/1974,13 Fuller Point,KIRKWOOD,MO,V664546223,Mark,a04i000000h8NAoAAM,Hughes,Mark Hughes,111111355
11/1/1990,65 Logan Drive,VINITA PARK,MO,J912860106,Arthur,a04i000000h8NApAAM,Hunter,Arthur Hunter,111111356
1/11/1990,93 Hansons Court,NORTHWOODS,MO,C835277065,Gerald,a04i000000h8NAqAAM,Sanders,Gerald Sanders,111111357
10/8/1960,,ST. GEORGE,MO,,Angela,a04i000000h8NArAAM,Medina,Angela Medina,111111358
3/29/1985,0 Derek Center,CLAYTON,MO,W271635919,Linda,a04i000000h8NAsAAM,Gonzales,Linda Gonzales,111111359
11/23/1985,2575 Twin Pines Parkway,MARLBOROUGH,MO,N365623941,Clarence,a04i000000h8NAtAAM,Jenkins,Clarence Jenkins,111111360
5/17/1986,1 Transport Pass,MARYLAND HEIGHTS,MO,T171582321,Bobby,a04i000000h8NAuAAM,Phillips,Bobby Phillips,111111361
8/2/1974,77 Lyons Drive,LADUE,MO,E138307190,Lois,a04i000000h8NAvAAM,Bowman,Lois Bowman,111111362
8/9/1963,1 Talisman Court,NORMANDY,MO,N927076870,Kathy,a04i000000h8NAwAAM,Bailey,Kathy Bailey,111111363
6/6/1980,33507 6th Terrace,TWIN OAKS,,K182678188,Chris,a04i000000h8NAxAAM,Garcia,Chris Garcia,111111364
10/26/1973,1 Cherokee Place,ROCK HILL,MO,O841958282,Patricia,a04i000000h8NAzAAM,Harvey,Patricia Harvey,111111365
2/8/1956,209 Hallows Way,GREENDALE,MO,B708135643,Jose,a04i000000h8NB0AAM,Washington,Jose Washington,111111366
5/9/1979,,BERKELEY,MO,,Mildred,a04i000000h8NB1AAM,Wilson,Mildred Wilson,111111367
2/6/1986,0 Weeping Birch Way,FLORISSANT,MO,U466429749,Susan,a04i000000h8NB2AAM,Schmidt,Susan Schmidt,111111368
,14 Morrow Trail,VELDA VILLAGE HILLS,MO,K991059779,David,a04i000000h8NB3AAM,Morales,David Morales,111111369
2/28/1979,,BRIDGETON,MO,M961044624,Adam,a04i000000h8NB4AAM,Wheeler,Adam Wheeler,111111370
6/4/1972,1282 Granby Alley,UPLANDS PARK,MO,V429646355,Ruth,a04i000000h8NB5AAM,Reynolds,Ruth Reynolds,111111371
7/16/1987,64944 Brickson Park Pass,MACKENZIE,,,Jean,a04i000000h8NB6AAM,Johnson,Jean Johnson,111111372
4/12/1972,8 Maple Wood Terrace,BELLA VILLA,MO,,Melissa,a04i000000h8NB7AAM,Russell,Melissa Russell,111111373
7/10/1955,,KINLOCH,MO,Q442680118,Eric,a04i000000h8NB8AAM,Harrison,Eric Harrison,111111374
6/7/1976,42708 Claremont Alley,CHESTERFIELD,MO,J725437242,Dorothy,a04i000000h8NIBAA2,Butler,Dorothy Butler,111111375
8/4/1968,31438 Ilene Plaza,MACKENZIE,MO,N555356327,Wanda,a04i000000h8NICAA2,Morgan,Wanda Morgan,111111376
1/25/1990,2081 Bonner Trail,MANCHESTER,MO,,Steven,a04i000000h8NIDAA2,Anderson,Steven Anderson,111111377
5/20/1957,3150 Southridge Circle,KIRKWOOD,MO,C700859784,Julia,a04i000000h8NIEAA2,Berry,Julia Berry,111111378
11/20/1957,61531 Melody Lane,HAZELWOOD,MO,X352147826,Brandon,a04i000000h8NIFAA2,Perez,Brandon Perez,111111379
1/24/1977,71 Forest Dale Lane,LAKESHIRE,MO,H829484279,Lillian,a04i000000h8NIGAA2,George,Lillian George,111111380
12/17/1988,41361 Katie Terrace,KINLOCH,MO,I780307130,Tina,a04i000000h8NIHAA2,Romero,Tina Romero,111111381
2/18/1984,4 Fisk Way,WINCHESTER,MO,Z690148626,Alan,a04i000000h8NIIAA2,Kelly,Alan Kelly,111111382
9/2/1951,693 Holmberg Junction,BRECKENRIDGE HILLS,MO,F609534068,Linda,a04i000000h8NIJAA2,Fowler,Linda Fowler,111111383
12/24/1973,929 Almo Place,FRONTENAC,MO,A200900284,Brandon,a04i000000h8NILAA2,Turner,Brandon Turner,111111384
9/7/1955,861 Superior Avenue,GLENDALE,MO,F992122371,Kevin,a04i000000h8NIMAA2,Morgan,Kevin Morgan,111111385
12/30/1960,66 Jay Alley,BALLWIN,MO,N756735665,Victor,a04i000000h8NINAA2,Ferguson,Victor Ferguson,111111386
12/16/1971,1371 Scoville Trail,HANLEY HILLS,MO,M403631327,Lillian,a04i000000h8NIOAA2,Andrews,Lillian Andrews,111111387
3/22/1954,0065 Holy Cross Court,SHREWSBURY,MO,,Melissa,a04i000000h8NIPAA2,Nelson,Melissa Nelson,111111388
6/22/1995,9 Morrow Street,RIVERVIEW,MO,J844045315,Adam,a04i000000h8NIQAA2,Lewis,Adam Lewis,111111389
9/27/1975,68 Burrows Place,MARYLAND HEIGHTS,,A824924934,Phyllis,a04i000000h8NIRAA2,Jones,Phyllis Jones,111111390
5/7/1995,7318 Wayridge Avenue,,MO,O464117204,Nicole,a04i000000h8NISAA2,Frazier,Nicole Frazier,111111391
9/20/1953,60 Transport Drive,VINITA PARK,MO,W420496064,Lisa,a04i000000h8NITAA2,Williamson,Lisa Williamson,111111392
4/5/1995,572 Hudson Pass,PASADENA PARK,MO,R099646423,Lori,a04i000000h8NIUAA2,Chavez,Lori Chavez,111111393
1/11/1985,8446 Holy Cross Parkway,JENNINGS,MO,H716836419,Nicholas,a04i000000h8NIVAA2,Ray,Nicholas Ray,111111394
9/17/1977,97812 Sugar Plaza,,MO,V366155772,Samuel,a04i000000h8NIWAA2,George,Samuel George,111111395
1/7/1965,5364 South Point,BRECKENRIDGE HILLS,MO,,Harry,a04i000000h8NIXAA2,Riley,Harry Riley,111111396
6/8/1979,6708 Mccormick Trail,WELLSTON,MO,R609830879,Tina,a04i000000h8NIYAA2,Baker,Tina Baker,111111397
11/26/1972,4608 Center Place,PAGEDALE,MO,R321640074,Rose,a04i000000h8NIZAA2,Wright,Rose Wright,111111398
,25 Huxley Center,RIVERVIEW,MO,Q173050362,Sharon,a04i000000h8NIaAAM,Morgan,Sharon Morgan,111111399
4/29/1996,9400 Farragut Plaza,CHAMP,MO,Q633514747,Judy,a04i000000h8NIbAAM,Lynch,Judy Lynch,111111400
5/2/1953,,WOODSON TERRACE,MO,,Antonio,a04i000000h8NIcAAM,Gonzalez,Antonio Gonzalez,111111401
3/22/1963,4 Harbort Center,VELDA CITY,MO,I695924298,Phyllis,a04i000000h8NIdAAM,Chapman,Phyllis Chapman,111111402
1/12/1974,853 Farmco Street,ST. LOUIS CITY,MO,H266548570,Robert,a04i000000h8NIeAAM,Baker,Robert Baker,111111403
7/10/1960,859 Ryan Crossing,BEVERLY HILLS,MO,D273521485,Evelyn,a04i000000h8NIfAAM,Lewis,Evelyn Lewis,111111404
4/18/1966,,BEL-NOR,MO,Q455520590,Lois,a04i000000h8NB9AAM,Torres,Lois Torres,111111405
7/24/1981,51224 Nancy Parkway,BELLA VILLA,,L872424093,Terry,a04i000000h8NBAAA2,Wagner,Terry Wagner,111111406
7/2/1986,238 Monument Place,UPLANDS PARK,MO,F764627392,Louise,a04i000000h8NBBAA2,Sims,Louise Sims,111111407
,14900 Glacier Hill Road,GLENDALE,MO,M335664838,Janet,a04i000000h8NBCAA2,Diaz,Janet Diaz,111111408
3/24/1971,457 Menomonie Plaza,KINLOCH,,P071807955,Christina,a04i000000h8NBDAA2,Peters,Christina Peters,111111409
11/6/1990,,GRANTWOOD VILLAGE,MO,K765459384,Robert,a04i000000h8NBEAA2,Warren,Robert Warren,111111410
7/16/1986,6 Homewood Parkway,,MO,D950407309,Nicholas,a04i000000h8NBFAA2,Miller,Nicholas Miller,111111411
2/8/1983,,WARSON WOODS,MO,L053712360,Cynthia,a04i000000h8NBGAA2,Howell,Cynthia Howell,111111412
4/20/1965,323 Glendale Court,NORTHWOODS,MO,S504678203,Beverly,a04i000000h8NBHAA2,Williamson,Beverly Williamson,111111413
1/25/1967,3602 Heffernan Point,UNIVERSITY CITY,MO,H458852196,Carl,a04i000000h8NBJAA2,Nelson,Carl Nelson,111111414
6/24/1980,80 Green Hill,,MO,B517054814,Denise,a04i000000h8NBKAA2,Coleman,Denise Coleman,111111415
2/25/1960,1714 Bunker Hill Drive,BLACK JACK,MO,O825934132,Sarah,a04i000000h8NBLAA2,Carter,Sarah Carter,111111416
10/28/1958,43346 East Circle,MARYLAND HEIGHTS,MO,S874955751,Steve,a04i000000h8NBMAA2,Carter,Steve Carter,111111417
6/10/1988,0615 Laurel Circle,VELDA VILLAGE HILLS,MO,A362390591,Joshua,a04i000000h8NBNAA2,Banks,Joshua Banks,111111418
10/24/1975,,WESTWOOD,MO,M868421690,Margaret,a04i000000h8NBOAA2,Lane,Margaret Lane,111111419
10/10/1980,0619 Basil Court,WESTWOOD,MO,E398390393,Douglas,a04i000000h8NBPAA2,Robertson,Douglas Robertson,111111420
9/13/1978,752 Meadow Valley Way,MAPLEWOOD,MO,,Joshua,a04i000000h8NBQAA2,Mitchell,Joshua Mitchell,111111421
11/27/1964,538 Macpherson Parkway,WESTWOOD,MO,X489182129,Patricia,a04i000000h8NBRAA2,Rivera,Patricia Rivera,111111422
,83011 Merchant Center,MOLINE ACRES,MO,L203975600,Jeffrey,a04i000000h8NBTAA2,Lane,Jeffrey Lane,111111423
6/18/1986,,MANCHESTER,MO,V685015237,Justin,a04i000000h8NBUAA2,Walker,Justin Walker,111111424
4/17/1984,3 Hansons Circle,EDMUNDSON,MO,A311907359,Marilyn,a04i000000h8NBYAA2,Reid,Marilyn Reid,111111425
2/1/1964,419 2nd Crossing,WELLSTON,MO,R441755964,Carol,a04i000000h8NBZAA2,Armstrong,Carol Armstrong,111111426
2/22/1991,1 Melvin Trail,ST. ANN,MO,Q382361883,Wayne,a04i000000h8NBbAAM,Nguyen,Wayne Nguyen,111111427
2/5/1962,851 Russell Park,FRONTENAC,MO,F411853697,Wanda,a04i000000h8NBcAAM,Ray,Wanda Ray,111111428
10/1/1994,881 Helena Center,CHARLACK,MO,E824112051,Ralph,a04i000000h8NBdAAM,Duncan,Ralph Duncan,111111429
1/20/1958,0797 Westend Circle,UPLANDS PARK,MO,,William,a04i000000h8NBeAAM,Mitchell,William Mitchell,111111430
4/25/1960,30 Calypso Court,NORMANDY,MO,D222387855,Lisa,a04i000000h8NBfAAM,Sims,Lisa Sims,111111431
6/12/1978,4 Bunting Plaza,BERKELEY,MO,R426445039,Margaret,a04i000000h8NBgAAM,Bishop,Margaret Bishop,111111432
11/15/1981,33 Mosinee Alley,,MO,M129244409,Bruce,a04i000000h8NIkAAM,Dunn,Bruce Dunn,111111433
4/17/1993,43 Canary Plaza,WOODSON TERRACE,MO,Y451217936,Jason,a04i000000h8NIlAAM,Graham,Jason Graham,111111434
2/23/1957,4 Dovetail Trail,PAGEDALE,,D614261312,Amy,a04i000000h8NImAAM,Bailey,Amy Bailey,111111435
12/2/1995,3 Texas Crossing,PAGEDALE,MO,P542820068,Daniel,a04i000000h8NInAAM,Marshall,Daniel Marshall,111111436
10/19/1992,455 Haas Crossing,HANLEY HILLS,MO,W893732058,Samuel,a04i000000h8NIoAAM,Nguyen,Samuel Nguyen,111111437
6/6/1953,8301 Garrison Avenue,HILLSDALE,MO,,Mark,a04i000000h8NIpAAM,Simpson,Mark Simpson,111111438
10/9/1967,6 Gulseth Drive,BLACK JACK,MO,A065485924,Linda,a04i000000h8NIqAAM,Ward,Linda Ward,111111439
5/5/1961,84278 Talmadge Park,WILDWOOD,MO,N822170652,Helen,a04i000000h8NIrAAM,Flores,Helen Flores,111111440
9/15/1982,495 Northwestern Lane,VELDA CITY,MO,B290967709,Jimmy,a04i000000h8NIsAAM,Fox,Jimmy Fox,111111441
10/16/1970,93217 Northport Trail,FRONTENAC,MO,I205583137,Jean,a04i000000h8NItAAM,Reid,Jean Reid,111111442
12/20/1962,13804 Becker Junction,CHAMP,MO,,Brenda,a04i000000h8NIuAAM,Collins,Brenda Collins,111111443
7/20/1970,,PASADENA HILLS,MO,U036012761,Kelly,a04i000000h8NIvAAM,Martin,Kelly Martin,111111444
11/7/1990,192 American Park,GREEN PARK,MO,K131464916,Andrew,a04i000000h8NIwAAM,Torres,Andrew Torres,111111445
4/18/1957,858 Kim Crossing,ST. ANN,MO,,Evelyn,a04i000000h8NIxAAM,Morgan,Evelyn Morgan,111111446
11/15/1950,349 Nevada Park,MOLINE ACRES,MO,F889129423,Adam,a04i000000h8NIyAAM,Davis,Adam Davis,111111447
6/12/1962,381 Chive Place,MAPLEWOOD,MO,J523987277,Carol,a04i000000h8NIzAAM,West,Carol West,111111448
2/1/1974,95926 Namekagon Terrace,NORMANDY,MO,Q526993883,Jerry,a04i000000h8NJ0AAM,Cox,Jerry Cox,111111449
5/6/1973,4 Kedzie Way,WELLSTON,MO,,Wanda,a04i000000h8NJ3AAM,Howard,Wanda Howard,111111450
3/2/1993,98641 Buell Park,FLORDELL HILLS,MO,M314062819,Mildred,a04i000000h8NJ7AAM,Moore,Mildred Moore,111111451
7/17/1963,108 Columbus Center,FENTON,MO,F946778666,Christopher,a04i000000h8NJ8AAM,Nelson,Christopher Nelson,111111452
1/1/1985,7 Pankratz Junction,GRANTWOOD VILLAGE,MO,T856715918,Jonathan,a04i000000h8NJ9AAM,Mccoy,Jonathan Mccoy,111111453
6/28/1979,17619 Calypso Way,CLARKSON VALLEY,MO,J721282735,Chris,a04i000000h8NJAAA2,Harris,Chris Harris,111111454
2/27/1987,66 Arizona Street,,MO,F032721739,Paula,a04i000000h8NJBAA2,Fowler,Paula Fowler,111111455
9/26/1952,164 Hermina Hill,PACIFIC,MO,P779389861,Sharon,a04i000000h8NJCAA2,Day,Sharon Day,111111456
7/2/1989,4992 Annamark Terrace,GREENDALE,MO,Y595821818,Amanda,a04i000000h8NJDAA2,Fuller,Amanda Fuller,111111457
11/15/1984,5 Wayridge Alley,UPLANDS PARK,MO,O310023093,Phyllis,a04i000000h8NJEAA2,Lee,Phyllis Lee,111111458
12/30/1975,0 Erie Road,DES PERES,MO,O890037612,Wanda,a04i000000h8N3lAAE,Phillips,Wanda Phillips,111111459
10/31/1960,856 Banding Trail,CHESTERFIELD,MO,,Mildred,a04i000000h8N3mAAE,Collins,Mildred Collins,111111460
4/10/1992,62819 Jay Way,HILLSDALE,MO,A840420280,Lori,a04i000000h8N3nAAE,Grant,Lori Grant,111111461
6/19/1973,6 Kropf Park,HAZELWOOD,MO,Z854997336,Jerry,a04i000000h8N3qAAE,Sanders,Jerry Sanders,111111462
5/29/1994,115 Bobwhite Junction,WARSON WOODS,MO,X984850978,Phillip,a04i000000h8N3sAAE,Gardner,Phillip Gardner,111111463
7/10/1963,8 Utah Way,CRYSTAL LAKE PARK,,Y799252548,Judy,a04i000000h8N3tAAE,Gardner,Judy Gardner,111111464
1/6/1958,835 Grayhawk Way,SUNSET HILLS,,W879351691,Marilyn,a04i000000h8N3uAAE,Arnold,Marilyn Arnold,111111465
1/2/1992,80611 Bluejay Pass,DELLWOOD,MO,A073019557,Frank,a04i000000h8N3vAAE,Fields,Frank Fields,111111466
8/27/1960,0876 Barnett Circle,BLACK JACK,MO,I927843860,Nancy,a04i000000h8N3wAAE,Kelley,Nancy Kelley,111111467
4/7/1962,22 Waubesa Alley,VALLEY PARK,MO,F307994218,Samuel,a04i000000h8N3xAAE,Ward,Samuel Ward,111111468
5/3/1955,21 Park Meadow Trail,OVERLAND,MO,O088897751,Louis,a04i000000h8NBhAAM,George,Louis George,111111469
8/27/1963,,ST. ANN,MO,U015943688,Kathryn,a04i000000h8NBiAAM,Bishop,Kathryn Bishop,111111470
12/19/1959,12 Kedzie Parkway,PINE LAWN,MO,R620292026,Amanda,a04i000000h8NBjAAM,Nguyen,Amanda Nguyen,111111471
12/18/1991,8530 Quincy Hill,HILLSDALE,MO,Y493643799,Keith,a04i000000h8NBkAAM,Johnson,Keith Johnson,111111472
12/6/1958,,PINE LAWN,MO,A458431772,Roger,a04i000000h8NBlAAM,Fowler,Roger Fowler,111111473
10/30/1986,23 Ridgeway Parkway,OVERLAND,MO,C094427614,Mark,a04i000000h8NBmAAM,Rodriguez,Mark Rodriguez,111111474
3/10/1983,2 Dwight Road,HAZELWOOD,MO,K374451639,Emily,a04i000000h8NBnAAM,Hayes,Emily Hayes,111111475
2/12/1983,243 Anniversary Way,VINITA TERRACE,MO,C195568319,Ronald,a04i000000h8NBoAAM,Garcia,Ronald Garcia,111111476
12/22/1956,390 Weeping Birch Plaza,WESTWOOD,MO,P962968772,Irene,a04i000000h8NBpAAM,Reyes,Irene Reyes,111111477
1/26/1976,92886 Jackson Avenue,ST. LOUIS CITY,MO,P402210431,Carl,a04i000000h8NBqAAM,Long,Carl Long,111111478
3/21/1975,69010 Talmadge Center,WILDWOOD,MO,,Roger,a04i000000h8NBrAAM,Walker,Roger Walker,111111479
9/16/1994,835 Lunder Drive,FENTON,MO,F261219468,Debra,a04i000000h8NBvAAM,Larson,Debra Larson,111111480
4/27/1965,7 Kensington Parkway,NORMANDY,MO,O565822006,Heather,a04i000000h8NBwAAM,Lopez,Heather Lopez,111111481
5/26/1993,8 Almo Crossing,PASADENA HILLS,MO,N116287494,Ashley,a04i000000h8NBxAAM,Hawkins,Ashley Hawkins,111111482
9/28/1992,97 Raven Alley,MARYLAND HEIGHTS,MO,K250527287,Joshua,a04i000000h8NC0AAM,Stanley,Joshua Stanley,111111483
3/22/1994,3777 Kedzie Point,HILLSDALE,MO,,Nancy,a04i000000h8NC1AAM,Spencer,Nancy Spencer,111111484
8/30/1962,8 Grasskamp Way,CALVERTON PARK,MO,B653514358,Marie,a04i000000h8NC2AAM,Sullivan,Marie Sullivan,111111485
11/22/1971,13 Dapin Crossing,BEL-RIDGE,MO,U953983066,Jeffrey,a04i000000h8NC3AAM,Medina,Jeffrey Medina,111111486
6/15/1980,02 Comanche Center,PAGEDALE,MO,K019254891,Margaret,a04i000000h8NC6AAM,West,Margaret West,111111487
1/11/1959,71 Dorton Way,BELLA VILLA,MO,,Sara,a04i000000h8NC7AAM,Stephens,Sara Stephens,111111488
4/11/1965,5 Crowley Crossing,GREENDALE,MO,T592907154,Kathryn,a04i000000h8NC8AAM,Shaw,Kathryn Shaw,111111489
2/5/1981,2254 Eastlawn Place,ELLISVILLE,MO,W567848893,Sean,a04i000000h8NC9AAM,Palmer,Sean Palmer,111111490
1/23/1956,34 Lillian Park,PINE LAWN,MO,,Sean,a04i000000h8NCAAA2,Castillo,Sean Castillo,111111491
4/20/1951,3 Brickson Park Crossing,CLARKSON VALLEY,MO,O144421054,Eugene,a04i000000h8NCBAA2,Richardson,Eugene Richardson,111111492
5/12/1991,3876 Fulton Plaza,DES PERES,MO,N215703956,Phillip,a04i000000h8NJIAA2,Armstrong,Phillip Armstrong,111111493
2/21/1954,30 East Lane,GRANTWOOD VILLAGE,MO,S452812321,Bruce,a04i000000h8NJJAA2,Mccoy,Bruce Mccoy,111111494
12/3/1968,8213 Reinke Road,BRIDGETON,MO,L628163308,Richard,a04i000000h8NJKAA2,Cook,Richard Cook,111111495
12/30/1993,4 Rutledge Hill,KINLOCH,MO,F208879900,Roger,a04i000000h8NJQAA2,Cook,Roger Cook,111111496
2/8/1963,73290 David Road,OLIVETTE,MO,W865082955,Deborah,a04i000000h8NJRAA2,Sullivan,Deborah Sullivan,111111497
5/4/1971,13 Drewry Alley,CREVE COEUR,MO,D138503309,Pamela,a04i000000h8NJSAA2,Alexander,Pamela Alexander,111111498
6/13/1996,48 Mesta Park,WEBSTER GROVES,MO,G756673627,Andrea,a04i000000h8NJTAA2,Morales,Andrea Morales,111111499
4/12/1979,29941 Mosinee Street,BRENTWOOD,MO,H521928646,Thomas,a04i000000h8NJUAA2,Meyer,Thomas Meyer,111111500
8/13/1964,81007 Harper Trail,KIRKWOOD,MO,B726484950,Phyllis,a04i000000h8NJVAA2,James,Phyllis James,111111501
7/24/1987,0 Dunning Way,ROCK HILL,MO,K282014783,Kelly,a04i000000h8NJWAA2,West,Kelly West,111111502
5/24/1953,7524 Maryland Terrace,HAZELWOOD,MO,U111613509,Andrew,a04i000000h8NJXAA2,Rivera,Andrew Rivera,111111503
12/14/1972,632 Dapin Circle,MARLBOROUGH,MO,T164390250,Stephen,a04i000000h8NJYAA2,Lewis,Stephen Lewis,111111504
2/16/1977,1 Heffernan Trail,COOL VALLEY,MO,C777407756,Nancy,a04i000000h8NJZAA2,Hughes,Nancy Hughes,111111505
11/26/1986,71 Carpenter Hill,GRANTWOOD VILLAGE,MO,O132835414,Michael,a04i000000h8NJaAAM,Tucker,Michael Tucker,111111506
5/31/1984,07 Pearson Road,COUNTRY LIFE ACRES,MO,R513029509,Bonnie,a04i000000h8NJeAAM,Richardson,Bonnie Richardson,111111507
6/10/1986,7 Annamark Terrace,FLORISSANT,MO,V138249416,Kimberly,a04i000000h8NJfAAM,Crawford,Kimberly Crawford,111111508
10/16/1993,4341 Hudson Street,BLACK JACK,MO,L101401939,Steve,a04i000000h8NJhAAM,Gibson,Steve Gibson,111111509
3/8/1984,9 Chive Terrace,LADUE,MO,P218402805,Walter,a04i000000h8NJiAAM,Lawson,Walter Lawson,111111510
2/27/1981,98 Lunder Place,GLEN ECHO PARK,MO,V297891865,Jason,a04i000000h8NJjAAM,Williams,Jason Williams,111111511
10/20/1972,7 East Alley,MANCHESTER,MO,K804892244,Richard,a04i000000h8NJkAAM,Ortiz,Richard Ortiz,111111512
10/23/1961,5 Upham Way,SYCAMORE HILLS,MO,O465333910,Mary,a04i000000h8NJlAAM,Fields,Mary Fields,111111513
2/4/1970,8 Forest Run Drive,NORWOOD COURT,MO,P460393996,Jack,a04i000000h8NJmAAM,Kim,Jack Kim,111111514
12/25/1987,85 Pepper Wood Circle,WOODSON TERRACE,MO,J771765099,Gloria,a04i000000h8N3yAAE,Reynolds,Gloria Reynolds,111111515
