citation_date__c,citation_hour__c,citation_number__c,citation_time__c,court_address__c,court_date__c,court_hour__c,court_location__c,court_time__c,Court__c,date_of_birth__c,defendant_address__c,defendant_city__c,defendant_state__c,DefendentID__c,drivers_license_number__c,first_name__c,Id,last_name__c,REC_ID__c,Name
7/29/2015,PM,362599964,2:49,7713 Utica Drive,12/24/2015,PM,HANLEY HILLS,1:18,a03i000000OQssDAAT,12/2/1956,29470 Cordelia Drive,OVERLAND,MO,a04i000000h8NI3AAM,P273652793,Ronald,a02i000000c3yybAAA,Stewart,888,HANLEY HILLS - 362599964 - 42214
8/9/2015,PM,276137104,2:55,7713 Utica Drive,10/18/2015,PM,HANLEY HILLS,1:24,a03i000000OQssDAAT,10/1/1961,,FERGUSON,MO,a04i000000h8NIAAA2,U012827108,Kevin,a02i000000c3yycAAA,Burton,894,HANLEY HILLS - 276137104 - 42225
,PM,30581649,3:19,320 West Thornton Avenue,12/2/2015,PM,ROCK HILL,1:48,a03i000000OQssdAAD,6/8/1979,6708 Mccormick Trail,WELLSTON,MO,a04i000000h8NIYAA2,R609830879,Tina,a02i000000c3yydAAA,Baker,918,ROCK HILL - 30581649 -
1/2/2015,PM,458075194,3:21,7713 Utica Drive,,PM,HANLEY HILLS,1:50,a03i000000OQssDAAT,,25 Huxley Center,RIVERVIEW,MO,a04i000000h8NIaAAM,Q173050362,Sharon,a02i000000c3yyeAAA,Morgan,920,HANLEY HILLS - 458075194 - 42006
3/25/2015,PM,345711737,4:03,7713 Utica Drive,9/15/2015,PM,HANLEY HILLS,2:32,a03i000000OQssDAAT,11/15/1984,5 Wayridge Alley,UPLANDS PARK,MO,a04i000000h8NJEAA2,O310023093,Phyllis,a02i000000c3yyfAAA,Lee,962,HANLEY HILLS - 345711737 - 42088
2/1/2015,PM,41970242,12:08,9699 Lilac Drive,10/28/2015,PM,RIVERVIEW,12:08,a03i000000OQsscAAD,5/29/1994,115 Bobwhite Junction,WARSON WOODS,MO,a04i000000h8N3sAAE,X984850978,Phillip,a02i000000c3yygAAA,Gardner,8,RIVERVIEW - 41970242 - 42036
4/28/2015,AM,686272931,1:25,9699 Lilac Drive,11/8/2015,PM,RIVERVIEW,1:25,a03i000000OQsscAAD,4/5/1986,2526 Talmadge Hill,BRIDGETON,MO,a04i000000h8N57AAE,T867547897,Brandon,a02i000000c3yyhAAA,Marshall,85,RIVERVIEW - 686272931 - 42122
3/18/2015,PM,985175654,1:28,7700 Natural Bridge Road,11/19/2015,PM,GREENDALE,1:28,a03i000000OQssCAAT,5/4/1957,2 Dahle Drive,,MO,a04i000000h8N5AAAU,S199664659,Willie,a02i000000c3yyiAAA,Bailey,88,GREENDALE - 985175654 - 42081
7/10/2015,PM,244822638,1:46,7700 Natural Bridge Road,11/7/2015,PM,GREENDALE,1:46,a03i000000OQssCAAT,5/1/1951,85 Elka Alley,ST. GEORGE,MO,a04i000000h8N5SAAU,A545251822,Randy,a02i000000c3yyjAAA,Boyd,106,GREENDALE - 244822638 - 42195
6/11/2015,PM,537466832,3:20,9699 Lilac Drive,11/4/2015,PM,RIVERVIEW,3:20,a03i000000OQsscAAD,2/19/1976,957 Farmco Lane,CLARKSON VALLEY,MO,a04i000000h8N6yAAE,M742020294,Joseph,a02i000000c3yykAAA,Meyer,200,RIVERVIEW - 537466832 - 42166
8/16/2015,PM,672700995,5:20,7700 Natural Bridge Road,12/9/2015,PM,GREENDALE,12:50,a03i000000OQssCAAT,12/14/1972,6 Colorado Pass,ELLISVILLE,MO,a04i000000h8N8uAAE,,Karen,a02i000000c3yylAAA,Woods,320,GREENDALE - 672700995 - 42232
4/2/2015,PM,146502925,6:30,9699 Lilac Drive,11/26/2015,PM,RIVERVIEW,2:01,a03i000000OQsscAAD,4/23/1981,9115 Merchant Park,WILDWOOD,MO,a04i000000h8NA2AAM,W725490066,Virginia,a02i000000c3yymAAA,Flores,390,RIVERVIEW - 146502925 - 42096
2/28/2015,AM,527880950,6:35,9699 Lilac Drive,11/12/2015,PM,RIVERVIEW,2:05,a03i000000OQsscAAD,4/13/1960,13 Packers Street,CRESTWOOD,MO,a04i000000h8NA5AAM,V636674079,Paula,a02i000000c3yynAAA,Harvey,395,RIVERVIEW - 527880950 - 42063
1/1/2015,PM,148652255,8:06,9699 Lilac Drive,11/20/2015,PM,RIVERVIEW,3:36,a03i000000OQsscAAD,2/1/1964,419 2nd Crossing,WELLSTON,MO,a04i000000h8NBZAA2,R441755964,Carol,a02i000000c3yyoAAA,Armstrong,486,RIVERVIEW - 148652255 - 42005
1/22/2015,AM,915827922,8:07,7700 Natural Bridge Road,12/8/2015,PM,GREENDALE,3:37,a03i000000OQssCAAT,2/22/1991,1 Melvin Trail,ST. ANN,MO,a04i000000h8NBbAAM,Q382361883,Wayne,a02i000000c3yypAAA,Nguyen,487,GREENDALE - 915827922 - 42026
4/18/2015,AM,784976614,10:09,9699 Lilac Drive,11/20/2015,PM,RIVERVIEW,1:09,a03i000000OQsscAAD,7/6/1985,6345 Loomis Parkway,HAZELWOOD,MO,a04i000000h8NDZAA2,C740365751,Alan,a02i000000c3yyqAAA,Rose,609,RIVERVIEW - 784976614 - 42112
9/1/2015,AM,234491120,10:11,9699 Lilac Drive,10/13/2015,PM,RIVERVIEW,1:11,a03i000000OQsscAAD,8/18/1993,37026 Forest Dale Alley,WELLSTON,MO,a04i000000h8NDbAAM,L058334451,Wayne,a02i000000c3yyrAAA,Mcdonald,611,RIVERVIEW - 234491120 - 42248
7/26/2015,PM,71342731,1:11,7150 Natural Bridge Road,9/22/2015,PM,BEVERLY HILLS,4:10,a03i000000OQsrmAAD,1/9/1986,237 Blaine Avenue,HANLEY HILLS,MO,a04i000000h8NGSAA2,,Jessica,a02i000000c3z3jAAA,Franklin,790,BEVERLY HILLS - 71342731 - 42211
3/10/2015,AM,295634313,2:34,7150 Natural Bridge Road,10/14/2015,PM,BEVERLY HILLS,1:03,a03i000000OQsrmAAD,10/13/1972,1 Tony Center,GREEN PARK,,a04i000000h8NHpAAM,Y777419793,Jonathan,a02i000000c3z3kAAA,Harrison,873,BEVERLY HILLS - 295634313 - 42073
6/14/2015,AM,245631616,4:36,7150 Natural Bridge Road,12/12/2015,PM,BEVERLY HILLS,3:05,a03i000000OQsrmAAD,9/16/1981,6887 Portage Drive,FLORISSANT,MO,a04i000000h8NJnAAM,L200604984,George,a02i000000c3z3lAAA,Montgomery,995,BEVERLY HILLS - 245631616 - 42169
6/2/2015,PM,938854466,4:41,7150 Natural Bridge Road,,PM,BEVERLY HILLS,3:10,a03i000000OQsrmAAD,8/11/1978,80614 Westerfield Park,CRYSTAL LAKE PARK,MO,a04i000000h8NJsAAM,N304261124,Kathleen,a02i000000c3z3mAAA,Evans,1000,BEVERLY HILLS - 938854466 - 42157
3/22/2015,PM,692594436,1:12,6140 N Hanley Road,10/10/2015,PM,BERKELEY 2,1:12,a03i000000OQsrlAAD,3/4/1952,9426 Lien Pass,ST. LOUIS CITY,MO,a04i000000h8N4uAAE,X815292854,Diana,a02i000000c3z3nAAA,Wagner,72,BERKELEY 2 - 692594436 - 42085
1/2/2015,PM,439498644,2:10,6140 N Hanley Road,11/1/2015,PM,BERKELEY 2,2:10,a03i000000OQsrlAAD,11/24/1965,72368 Sullivan Center,VINITA TERRACE,MO,a04i000000h8N5qAAE,,Ruth,a02i000000c3z3oAAA,Hansen,130,BERKELEY 2 - 439498644 - 42006
3/9/2015,PM,378497940,2:34,6140 N Hanley Road,9/29/2015,PM,BERKELEY 2,2:34,a03i000000OQsrlAAD,10/23/1970,99211 Namekagon Street,RICHMOND HEIGHTS,MO,a04i000000h8N6CAAU,,Wanda,a02i000000c3z3pAAA,Marshall,154,BERKELEY 2 - 378497940 - 42072
7/4/2015,PM,155840816,3:04,6140 N Hanley Road,10/28/2015,PM,BERKELEY 2,3:04,a03i000000OQsrlAAD,8/3/1969,288 Clove Avenue,COUNTRY LIFE ACRES,MO,a04i000000h8N6gAAE,P971690942,Patrick,a02i000000c3z3qAAA,Elliott,184,BERKELEY 2 - 155840816 - 42189
5/23/2015,AM,640732635,3:17,6140 N Hanley Road,11/15/2015,PM,BERKELEY 2,3:17,a03i000000OQsrlAAD,6/16/1975,4270 Delaware Trail,CLARKSON VALLEY,MO,a04i000000h8N6vAAE,R718521347,Frances,a02i000000c3z3rAAA,Hanson,197,BERKELEY 2 - 640732635 - 42147
7/20/2015,PM,505946316,4:12,6140 N Hanley Road,,PM,BERKELEY 2,4:12,a03i000000OQsrlAAD,9/15/1959,21 Warrior Hill,MARYLAND HEIGHTS,MO,a04i000000h8N7oAAE,B243527210,Adam,a02i000000c3z3sAAA,Welch,252,BERKELEY 2 - 505946316 - 42205
2/13/2015,AM,900861423,6:27,6140 N Hanley Road,10/21/2015,PM,BERKELEY 2,1:57,a03i000000OQsrlAAD,10/27/1953,9 Lakewood Gardens Court,SUNSET HILLS,MO,a04i000000h8N9zAAE,,David,a02i000000c3z3tAAA,Mitchell,387,BERKELEY 2 - 900861423 - 42048
8/25/2015,PM,70746980,12:03,6140 N Hanley Road,12/7/2015,PM,BERKELEY 2,3:02,a03i000000OQsrlAAD,7/29/1970,6 Hoffman Trail,CALVERTON PARK,MO,a04i000000h8NFOAA2,J320831636,Tina,a02i000000c3z3uAAA,Castillo,722,BERKELEY 2 - 70746980 - 42241
5/14/2015,AM,768802456,12:42,6140 N Hanley Road,10/16/2015,PM,BERKELEY 2,3:41,a03i000000OQsrlAAD,9/7/1986,91 Moulton Drive,COOL VALLEY,,a04i000000h8NG1AAM,Y365228651,Rachel,a02i000000c3z3vAAA,Meyer,761,BERKELEY 2 - 768802456 - 42138
5/9/2015,AM,481099344,3:42,6140 N Hanley Road,10/25/2015,PM,BERKELEY 2,2:11,a03i000000OQsrlAAD,7/20/1970,,PASADENA HILLS,MO,a04i000000h8NIvAAM,U036012761,Kelly,a02i000000c3z3wAAA,Martin,941,BERKELEY 2 - 481099344 - 42133
4/3/2015,AM,13938567,12:07,6120 Madison,11/6/2015,PM,BERKELEY 1,12:07,a03i000000OQsrkAAD,4/10/1992,62819 Jay Way,HILLSDALE,,a04i000000h8N3nAAE,A840420280,Lori,a02i000000c3z3xAAA,Grant,7,BERKELEY 1 - 13938567 - 42097
2/27/2015,PM,598273736,12:18,6120 Madison,12/25/2015,PM,BERKELEY 1,12:18,a03i000000OQsrkAAD,3/8/1967,0 Summerview Terrace,PASADENA HILLS,MO,a04i000000h8N42AAE,I369319612,Donald,a02i000000c3z3yAAA,Webb,18,BERKELEY 1 - 598273736 - 42062
2/9/2015,PM,36726340,12:32,6120 Madison,12/11/2015,PM,BERKELEY 1,12:32,a03i000000OQsrkAAD,4/30/1979,47 Jay Way,FLORDELL HILLS,MO,a04i000000h8N4EAAU,U681077853,Jessica,a02i000000c3z3zAAA,Stephens,32,BERKELEY 1 - 36726340 - 42044
3/1/2015,PM,385624433,2:56,6120 Madison,9/26/2015,PM,BERKELEY 1,2:56,a03i000000OQsrkAAD,3/26/1958,7 Scoville Center,BRECKENRIDGE HILLS,,a04i000000h8N6aAAE,I691606331,Richard,a02i000000c3z40AAA,Ryan,176,BERKELEY 1 - 385624433 - 42064
9/9/2015,AM,657031765,3:45,6120 Madison,12/14/2015,PM,BERKELEY 1,3:45,a03i000000OQsrkAAD,2/6/1978,4 Center Junction,CLAYTON,MO,a04i000000h8N7GAAU,T548660236,Amanda,a02i000000c3z41AAA,Hall,225,BERKELEY 1 - 657031765 - 42256
3/8/2015,AM,166654331,6:45,52 Young Drive,12/18/2015,PM,ST. LOUIS CITY,2:15,a03i000000OQtckAAD,10/9/1993,22 Declaration Center,WEBSTER GROVES,MO,a04i000000h8NAHAA2,M423601297,Janice,a02i000000c3ypHAAQ,Roberts,405,ST. LOUIS CITY - 166654331 - 42071
1/23/2015,AM,232624460,6:49,4400 Shrewsbury Avenue,,PM,ST. LOUIS CITY,2:19,a03i000000OQtckAAD,12/6/1967,3 Pawling Pass,CLAYTON,MO,a04i000000h8NALAA2,E396773320,Phillip,a02i000000c3ypIAAQ,Stevens,409,ST. LOUIS CITY - 232624460 - 42027
3/4/2015,AM,991138448,7:07,3915 Roland Boulevard,,PM,ST. LOUIS CITY,2:37,a03i000000OQtckAAD,6/1/1968,2782 Manley Circle,WOODSON TERRACE,MO,a04i000000h8NAdAAM,,Kenneth,a02i000000c3ypJAAQ,Sanders,427,ST. LOUIS CITY - 991138448 - 42067
4/2/2015,PM,32344013,7:08,300 Park Drive,9/29/2015,PM,ST. LOUIS CITY,2:38,a03i000000OQtckAAD,8/6/1991,58340 4th Place,BLACK JACK,MO,a04i000000h8NAeAAM,H988302429,Thomas,a02i000000c3ypKAAQ,Cole,428,ST. LOUIS CITY - 32344013 - 42096
7/16/2015,AM,861328702,7:15,16860 Main Street,10/22/2015,PM,ST. LOUIS CITY,2:45,a03i000000OQtckAAD,2/17/1985,6 Shoshone Crossing,VALLEY PARK,MO,a04i000000h8NAlAAM,,Helen,a02i000000c3ypLAAQ,Carpenter,435,ST. LOUIS CITY - 861328702 - 42201
8/7/2015,PM,746604732,7:18,2560 Lucas & Hunt Road,12/26/2015,PM,ST. LOUIS CITY,2:48,a03i000000OQtckAAD,11/21/1974,13 Fuller Point,KIRKWOOD,MO,a04i000000h8NAoAAM,V664546223,Mark,a02i000000c3ypMAAQ,Hughes,438,ST. LOUIS CITY - 746604732 - 42223
2/8/2015,AM,784903707,7:27,7900 Carondelet Avenue,9/28/2015,PM,ST. LOUIS CITY,2:57,a03i000000OQtckAAD,6/6/1980,33507 6th Terrace,TWIN OAKS,,a04i000000h8NAxAAM,K182678188,Chris,a02i000000c3ypNAAQ,Garcia,447,ST. LOUIS CITY - 784903707 - 42043
1/4/2015,AM,348275774,7:49,320 Benton Street,12/9/2015,PM,ST. LOUIS CITY,3:19,a03i000000OQtckAAD,1/25/1967,3602 Heffernan Point,UNIVERSITY CITY,MO,a04i000000h8NBJAA2,H458852196,Carl,a02i000000c3ypOAAQ,Nelson,469,ST. LOUIS CITY - 348275774 - 42008
6/29/2015,PM,357908794,8:12,8944 St. Charles Rock Road,11/16/2015,PM,ST. LOUIS CITY,3:42,a03i000000OQtckAAD,6/12/1978,4 Bunting Plaza,BERKELEY,MO,a04i000000h8NBgAAM,R426445039,Margaret,a02i000000c3ypPAAQ,Bishop,492,ST. LOUIS CITY - 357908794 - 42184
7/6/2015,PM,437355555,8:42,12355 Natural Bridge Road,11/20/2015,PM,ST. LOUIS CITY,4:12,a03i000000OQtckAAD,1/23/1956,34 Lillian Park,PINE LAWN,MO,a04i000000h8NCAAA2,,Sean,a02i000000c3ypQAAQ,Castillo,522,ST. LOUIS CITY - 437355555 - 42191
8/31/2015,AM,539648260,8:45,200 Highlands Blvd. Dr.,9/26/2015,PM,ST. LOUIS CITY,4:15,a03i000000OQtckAAD,5/28/1959,32669 Menomonie Drive,ST. ANN,MO,a04i000000h8NCDAA2,W853783997,Jason,a02i000000c3ypRAAQ,Long,525,ST. LOUIS CITY - 539648260 - 42247
2/12/2015,AM,761837003,8:53,975 Pennsylvania Avenue,11/21/2015,PM,ST. LOUIS CITY,4:23,a03i000000OQtckAAD,2/22/1988,0 Florence Circle,LAKESHIRE,MO,a04i000000h8NCLAA2,F130189768,Howard,a02i000000c3ypSAAQ,Harper,533,ST. LOUIS CITY - 761837003 - 42047
8/25/2015,PM,601950786,9:18,7700 Natural Bridge Road,12/29/2015,PM,ST. LOUIS CITY,12:18,a03i000000OQtckAAD,12/12/1968,110 Nevada Terrace,BEL-NOR,MO,a04i000000h8NCkAAM,,Nancy,a02i000000c3ypTAAQ,Butler,558,ST. LOUIS CITY - 601950786 - 42241
4/29/2015,AM,543420405,9:19,10015 Manchester Road,11/14/2015,PM,ST. LOUIS CITY,12:19,a03i000000OQtckAAD,6/26/1961,105 Derek Center,FERGUSON,MO,a04i000000h8NClAAM,L357892877,Robin,a02i000000c3ypUAAQ,Nichols,559,ST. LOUIS CITY - 543420405 - 42123
8/28/2015,AM,222807278,9:25,10015 Manchester Road,,PM,ST. LOUIS CITY,12:25,a03i000000OQtckAAD,11/4/1954,37224 Surrey Park,HILLSDALE,MO,a04i000000h8NCrAAM,H866771499,Robin,a02i000000c3ypVAAQ,James,565,ST. LOUIS CITY - 222807278 - 42244
3/25/2015,PM,927607418,9:32,120 City Hall Drive,9/27/2015,PM,ST. LOUIS CITY,12:32,a03i000000OQtckAAD,9/9/1968,1561 Eliot Avenue,WESTWOOD,MO,a04i000000h8NCyAAM,W973979733,Jean,a02i000000c3ypWAAQ,Lopez,572,ST. LOUIS CITY - 927607418 - 42088
3/31/2015,AM,908408209,9:41,3915 Roland Boulevard,11/2/2015,PM,ST. LOUIS CITY,12:41,a03i000000OQtckAAD,6/17/1952,7 Milwaukee Crossing,LAKESHIRE,MO,a04i000000h8ND7AAM,L839334782,Barbara,a02i000000c3ypXAAQ,Graham,581,ST. LOUIS CITY - 908408209 - 42094
2/26/2015,AM,474111964,9:51,52 Young Drive,12/12/2015,PM,ST. LOUIS CITY,12:51,a03i000000OQtckAAD,6/23/1965,254 Walton Terrace,NORWOOD COURT,MO,a04i000000h8NDHAA2,Z749264896,Janice,a02i000000c3ypYAAQ,Gonzales,591,ST. LOUIS CITY - 474111964 - 42061
2/28/2015,AM,579377130,10:05,4400 Shrewsbury Avenue,12/25/2015,PM,ST. LOUIS CITY,1:05,a03i000000OQtckAAD,12/30/1978,60437 Delaware Drive,CRYSTAL LAKE PARK,MO,a04i000000h8NDVAA2,S185105520,Gerald,a02i000000c3ypZAAQ,Ross,605,ST. LOUIS CITY - 579377130 - 42063
5/3/2015,AM,969647917,10:29,3915 Roland Boulevard,12/8/2015,PM,ST. LOUIS CITY,1:29,a03i000000OQtckAAD,12/30/1978,60437 Delaware Drive,CRYSTAL LAKE PARK,MO,a04i000000h8NDVAA2,S185105520,Gerald,a02i000000c3ypaAAA,Ross,629,ST. LOUIS CITY - 969647917 - 42127
1/27/2015,PM,325733893,4:38,2449 Chambers Road,12/19/2015,PM,MOLINE ACRES,12:08,a03i000000OQssQAAT,8/6/1959,848 Forest Dale Place,NORTHWOODS,MO,a04i000000h8N8EAAU,H640577621,Anne,a02i000000c3ytiAAA,Andrews,278,MOLINE ACRES - 325733893 - 42031
8/24/2015,AM,564654137,5:05,2449 Chambers Road,9/19/2015,PM,MOLINE ACRES,12:35,a03i000000OQssQAAT,8/8/1983,60246 Village Court,UPLANDS PARK,MO,a04i000000h8N8fAAE,W383058818,Willie,a02i000000c3ytjAAA,Brooks,305,MOLINE ACRES - 564654137 - 42240
4/7/2015,PM,45447696,5:24,2449 Chambers Road,11/30/2015,PM,MOLINE ACRES,12:54,a03i000000OQssQAAT,7/22/1959,9 Eastwood Plaza,VINITA TERRACE,MO,a04i000000h8N8yAAE,D209338504,Donald,a02i000000c3ytkAAA,Pierce,324,MOLINE ACRES - 45447696 - 42101
7/9/2015,AM,629625259,5:49,2449 Chambers Road,10/5/2015,PM,MOLINE ACRES,1:19,a03i000000OQssQAAT,8/6/1952,3 Browning Terrace,BELLEFONTAINE NEIGHBORS,MO,a04i000000h8N9NAAU,A522185747,Amanda,a02i000000c3ytlAAA,Richardson,349,MOLINE ACRES - 629625259 - 42194
8/4/2015,PM,957025060,6:04,2449 Chambers Road,10/29/2015,PM,MOLINE ACRES,1:34,a03i000000OQssQAAT,11/5/1980,02 Di Loreto Street,ST. GEORGE,MO,a04i000000h8N9cAAE,X574811760,Carolyn,a02i000000c3ytmAAA,Cooper,364,MOLINE ACRES - 957025060 - 42220
7/3/2015,AM,85834628,6:25,8027 Page Boulevard,11/12/2015,PM,VINITA TERRACE,1:55,a03i000000OQssqAAD,7/24/1955,8881 Melrose Lane,ST. LOUIS CITY,MO,a04i000000h8N9xAAE,H510344065,Sean,a02i000000c3ytnAAA,Greene,385,VINITA TERRACE - 85834628 - 42188
5/26/2015,AM,860182343,6:33,2449 Chambers Road,11/22/2015,PM,MOLINE ACRES,2:03,a03i000000OQssQAAT,4/13/1960,13 Packers Street,CRESTWOOD,MO,a04i000000h8NA5AAM,V636674079,Paula,a02i000000c3ytoAAA,Harvey,393,MOLINE ACRES - 860182343 - 42150
6/18/2015,AM,715271248,7:51,8027 Page Boulevard,12/12/2015,PM,VINITA TERRACE,3:21,a03i000000OQssqAAD,2/25/1960,1714 Bunker Hill Drive,BLACK JACK,MO,a04i000000h8NBLAA2,O825934132,Sarah,a02i000000c3ytpAAA,Carter,471,VINITA TERRACE - 715271248 - 42173
6/10/2015,PM,809159315,7:54,2449 Chambers Road,10/7/2015,PM,MOLINE ACRES,3:24,a03i000000OQssQAAT,10/24/1975,,WESTWOOD,MO,a04i000000h8NBOAA2,M868421690,Margaret,a02i000000c3ytqAAA,Lane,474,MOLINE ACRES - 809159315 - 42165
8/23/2015,PM,3624727,8:24,2449 Chambers Road,12/22/2015,PM,MOLINE ACRES,3:54,a03i000000OQssQAAT,3/21/1975,69010 Talmadge Center,WILDWOOD,MO,a04i000000h8NBrAAM,,Roger,a02i000000c3ytrAAA,Walker,504,MOLINE ACRES - 3624727 - 42239
3/8/2015,PM,149103006,8:44,8027 Page Boulevard,11/19/2015,PM,VINITA TERRACE,4:14,a03i000000OQssqAAD,1/13/1954,15053 Clyde Gallagher Crossing,BEL-NOR,MO,a04i000000h8NCCAA2,H100205238,Jimmy,a02i000000c3ytsAAA,Nichols,524,VINITA TERRACE - 149103006 - 42071
1/19/2015,AM,713043035,9:35,8027 Page Boulevard,9/13/2015,PM,VINITA TERRACE,12:35,a03i000000OQssqAAD,12/17/1966,51081 Lukken Park,ST. ANN,,a04i000000h8ND1AAM,,Julia,a02i000000c3yttAAA,Johnson,575,VINITA TERRACE - 713043035 - 42023
1/11/2015,AM,558703755,10:21,8027 Page Boulevard,10/1/2015,PM,VINITA TERRACE,1:21,a03i000000OQssqAAD,6/16/1987,7117 Johnson Parkway,TWIN OAKS,MO,a04i000000h8NDlAAM,,Justin,a02i000000c3ytuAAA,Wilson,621,VINITA TERRACE - 558703755 - 42015
4/23/2015,AM,467807059,10:27,2449 Chambers Road,9/27/2015,PM,MOLINE ACRES,1:27,a03i000000OQssQAAT,4/17/1983,1 Crest Line Terrace,GLENDALE,MO,a04i000000h8NDmAAM,T362307296,Clarence,a02i000000c3ytvAAA,Burton,627,MOLINE ACRES - 467807059 - 42117
2/20/2015,PM,240025240,10:40,8027 Page Boulevard,10/7/2015,PM,VINITA TERRACE,1:40,a03i000000OQssqAAD,4/14/1968,5 Hoepker Plaza,VELDA CITY,MO,a04i000000h8NE4AAM,O270403557,Irene,a02i000000c3ytwAAA,Powell,640,VINITA TERRACE - 240025240 - 42055
2/11/2015,AM,750244359,10:49,2449 Chambers Road,10/4/2015,PM,MOLINE ACRES,1:49,a03i000000OQssQAAT,2/27/1974,43 Eastlawn Junction,SUNSET HILLS,MO,a04i000000h8NEDAA2,G741270249,Gerald,a02i000000c3ytxAAA,Day,649,MOLINE ACRES - 750244359 - 42046
6/6/2015,AM,456903429,11:11,2449 Chambers Road,10/13/2015,PM,MOLINE ACRES,2:11,a03i000000OQssQAAT,7/15/1989,37 Corscot Hill,ST. ANN,MO,a04i000000h8NEXAA2,Y503438841,Harry,a02i000000c3ytyAAA,Mitchell,671,MOLINE ACRES - 456903429 - 42161
1/25/2015,PM,110015142,12:53,8027 Page Boulevard,11/25/2015,PM,VINITA TERRACE,3:52,a03i000000OQssqAAD,12/20/1981,578 Hayes Hill,BELLEFONTAINE NEIGHBORS,MO,a04i000000h8NGCAA2,V129537822,Anthony,a02i000000c3ytzAAA,Reed,772,VINITA TERRACE - 110015142 - 42029
7/11/2015,AM,391285907,1:14,2449 Chambers Road,10/18/2015,PM,MOLINE ACRES,4:13,a03i000000OQssQAAT,7/9/1976,0663 Twin Pines Crossing,OVERLAND,MO,a04i000000h8NGXAA2,S003004932,Andrew,a02i000000c3yu0AAA,Ryan,793,MOLINE ACRES - 391285907 - 42196
3/1/2015,AM,320656332,1:52,2449 Chambers Road,,PM,MOLINE ACRES,12:21,a03i000000OQssQAAT,9/12/1976,36006 Mandrake Point,PASADENA HILLS,MO,a04i000000h8NH9AAM,H082244634,Johnny,a02i000000c3yu1AAA,Stevens,831,MOLINE ACRES - 320656332 - 42064
7/2/2015,PM,194196536,10:12,7700 Natural Bridge Road,10/27/2015,PM,GREENDALE,1:12,a03i000000OQssCAAT,10/14/1977,53493 Summer Ridge Crossing,BLACK JACK,MO,a04i000000h8NDcAAM,Q083066229,Earl,a02i000000c3yysAAA,Cole,612,GREENDALE - 194196536 - 42187
9/4/2015,PM,316722254,10:38,7700 Natural Bridge Road,10/7/2015,PM,GREENDALE,1:38,a03i000000OQssCAAT,12/3/1962,029 South Avenue,GREENDALE,MO,a04i000000h8NE1AAM,M718460675,Martin,a02i000000c3yytAAA,Meyer,638,GREENDALE - 316722254 - 42251
7/9/2015,PM,235918010,11:28,7700 Natural Bridge Road,11/24/2015,PM,GREENDALE,2:28,a03i000000OQssCAAT,11/21/1967,50567 Fremont Lane,SYCAMORE HILLS,MO,a04i000000h8NEqAAM,H269909359,Chris,a02i000000c3yyuAAA,Lawson,688,GREENDALE - 235918010 - 42194
4/3/2015,AM,981081817,11:43,7700 Natural Bridge Road,11/9/2015,PM,GREENDALE,2:43,a03i000000OQssCAAT,6/21/1976,85000 Corry Crossing,GLENDALE,MO,a04i000000h8NF5AAM,T844451000,Mark,a02i000000c3yyvAAA,Willis,703,GREENDALE - 981081817 - 42097
6/13/2015,AM,791251080,11:51,7700 Natural Bridge Road,10/19/2015,PM,GREENDALE,2:51,a03i000000OQssCAAT,4/3/1992,905 Carey Hill,LADUE,MO,a04i000000h8NFDAA2,S349365571,Julie,a02i000000c3yywAAA,Romero,711,GREENDALE - 791251080 - 42168
5/26/2015,AM,773341184,11:55,7700 Natural Bridge Road,12/24/2015,PM,GREENDALE,2:55,a03i000000OQssCAAT,10/17/1962,90 Lawn Park,KIRKWOOD,MO,a04i000000h8NFFAA2,L814561589,Patricia,a02i000000c3yyxAAA,Jones,715,GREENDALE - 773341184 - 42150
1/4/2015,AM,723327359,12:46,9699 Lilac Drive,10/19/2015,PM,RIVERVIEW,3:45,a03i000000OQsscAAD,6/7/1956,34 Thompson Trail,CHAMP,,a04i000000h8NG5AAM,I024478960,Randy,a02i000000c3yyyAAA,Grant,765,RIVERVIEW - 723327359 - 42008
8/22/2015,PM,111104101,12:47,7700 Natural Bridge Road,9/29/2015,PM,GREENDALE,3:46,a03i000000OQssCAAT,6/11/1975,00790 Green Avenue,WILDWOOD,MO,a04i000000h8NG6AAM,B059077879,Elizabeth,a02i000000c3yyzAAA,James,766,GREENDALE - 111104101 - 42238
6/8/2015,AM,930495145,1:56,9699 Lilac Drive,12/9/2015,PM,RIVERVIEW,12:25,a03i000000OQsscAAD,5/19/1958,,NORMANDY,MO,a04i000000h8NHDAA2,U858254189,Judy,a02i000000c3yz0AAA,Hicks,835,RIVERVIEW - 930495145 - 42163
3/7/2015,AM,232711851,2:46,7700 Natural Bridge Road,12/12/2015,PM,GREENDALE,1:15,a03i000000OQssCAAT,3/1/1954,,FERGUSON,MO,a04i000000h8NI1AAM,,Barbara,a02i000000c3yz1AAA,Mason,885,GREENDALE - 232711851 - 42070
7/23/2015,AM,797765961,3:06,7700 Natural Bridge Road,11/11/2015,PM,GREENDALE,1:35,a03i000000OQssCAAT,12/24/1973,929 Almo Place,FRONTENAC,MO,a04i000000h8NILAA2,A200900284,Brandon,a02i000000c3yz2AAA,Turner,905,GREENDALE - 797765961 - 42208
